  0.073000  0.002657  0.000008 -0.000266  0.072671  0.000323 -0.007260
  0.074000  0.002730  0.000008 -0.000273  0.073661  0.000333 -0.007359
  0.075000  0.002804  0.000008 -0.000280  0.074650  0.000342 -0.007458
  0.076000  0.002879  0.000009 -0.000288  0.075640  0.000352 -0.007556
  0.077000  0.002955  0.000009 -0.000295  0.076630  0.000363 -0.007655
  0.078000  0.003033  0.000009 -0.000303  0.077619  0.000373 -0.007754
  0.079000  0.003111  0.000010 -0.000311  0.078608  0.000384 -0.007852
  0.080000  0.003190  0.000010 -0.000319  0.079597  0.000394 -0.007951
  0.081000  0.003270  0.000010 -0.000327  0.080586  0.000405 -0.008049
  0.082000  0.003351  0.000011 -0.000335  0.081575  0.000416 -0.008148
  0.083000  0.003433  0.000011 -0.000343  0.082563  0.000427 -0.008246
  0.084000  0.003516  0.000012 -0.000351  0.083551  0.000439 -0.008345
  0.085000  0.003600  0.000012 -0.000360  0.084539  0.000450 -0.008443
  0.086000  0.003685  0.000013 -0.000368  0.085527  0.000462 -0.008542
  0.087000  0.003771  0.000013 -0.000377  0.086515  0.000474 -0.008640
  0.088000  0.003858  0.000014 -0.000386  0.087503  0.000486 -0.008739
  0.089000  0.003946  0.000014 -0.000394  0.088490  0.000498 -0.008837
  0.090000  0.004035  0.000015 -0.000403  0.089477  0.000510 -0.008935
  0.091000  0.004125  0.000015 -0.000412  0.090464  0.000523 -0.009033
  0.092000  0.004216  0.000016 -0.000421  0.091451  0.000536 -0.009132
  0.093000  0.004308  0.000016 -0.000430  0.092437  0.000549 -0.009230
  0.094000  0.004401  0.000017 -0.000440  0.093424  0.000562 -0.009328
  0.095000  0.004495  0.000017 -0.000449  0.094410  0.000575 -0.009426
  0.096000  0.004590  0.000018 -0.000459  0.095396  0.000589 -0.009524
  0.097000  0.004686  0.000018 -0.000468  0.096382  0.000602 -0.009622
  0.098000  0.004783  0.000019 -0.000478  0.097368  0.000616 -0.009720
  0.099000  0.004880  0.000020 -0.000488  0.098353  0.000630 -0.009819
  0.100000  0.004979  0.000020 -0.000497  0.099338  0.000644 -0.009917
  0.101000  0.005079  0.000021 -0.000507  0.100323  0.000659 -0.010015
  0.102000  0.005180  0.000022 -0.000518  0.101308  0.000673 -0.010112
  0.103000  0.005282  0.000022 -0.000528  0.102293  0.000688 -0.010210
  0.104000  0.005385  0.000023 -0.000538  0.103278  0.000703 -0.010308
  0.105000  0.005488  0.000024 -0.000548  0.104262  0.000718 -0.010406
  0.106000  0.005593  0.000024 -0.000559  0.105246  0.000734 -0.010504
  0.107000  0.005699  0.000025 -0.000569  0.106230  0.000749 -0.010602
  0.108000  0.005806  0.000026 -0.000580  0.107213  0.000765 -0.010700
  0.109000  0.005913  0.000027 -0.000591  0.108197  0.000781 -0.010797
  0.110000  0.006022  0.000027 -0.000602  0.109180  0.000797 -0.010895
  0.111000  0.006132  0.000028 -0.000613  0.110163  0.000813 -0.010993
  0.112000  0.006242  0.000029 -0.000624  0.111146  0.000830 -0.011090
  0.113000  0.006354  0.000030 -0.000635  0.112129  0.000846 -0.011188
  0.114000  0.006466  0.000031 -0.000646  0.113111  0.000863 -0.011285
  0.115000  0.006580  0.000032 -0.000657  0.114093  0.000880 -0.011383
  0.116000  0.006695  0.000033 -0.000669  0.115075  0.000898 -0.011480
  0.117000  0.006810  0.000033 -0.000680  0.116057  0.000915 -0.011578
  0.118000  0.006927  0.000034 -0.000692  0.117039  0.000933 -0.011675
  0.119000  0.007044  0.000035 -0.000704  0.118020  0.000951 -0.011773
  0.120000  0.007163  0.000036 -0.000715  0.119001  0.000969 -0.011870
  0.121000  0.007282  0.000037 -0.000727  0.119982  0.000987 -0.011967
  0.122000  0.007403  0.000038 -0.000739  0.120963  0.001006 -0.012065
  0.123000  0.007524  0.000039 -0.000751  0.121944  0.001024 -0.012162
  0.124000  0.007647  0.000040 -0.000764  0.122924  0.001043 -0.012259
  0.125000  0.007770  0.000041 -0.000776  0.123904  0.001062 -0.012356
  0.126000  0.007894  0.000042 -0.000788  0.124884  0.001082 -0.012454
  0.127000  0.008020  0.000044 -0.000801  0.125864  0.001101 -0.012551
  0.128000  0.008146  0.000045 -0.000813  0.126843  0.001121 -0.012648
