  0.000000 -5.000000  7.000000  0.000000  0.000000
  0.001000 -5.000000  6.999999  0.000782 -0.001107
  1.073065 -4.591427  6.405964  0.719291 -1.060078
  2.115495 -3.591232  4.901170  1.153525 -1.766610
  3.162344 -2.276045  2.845060  1.314463 -2.097040
  4.209388 -0.924433  0.639309  1.230874 -2.058682
  5.292043  0.272013 -1.421076  0.953682 -1.701933
  6.454382  1.145713 -3.058407  0.538030 -1.087726
  7.793257  1.529445 -3.975992  0.043567 -0.283107
  9.113708  1.317444 -3.869992 -0.339397  0.413335
 10.326545  0.769677 -3.082361 -0.536727  0.846271
 11.542697  0.078890 -1.913740 -0.573356  1.033655
 12.759451 -0.569485 -0.662965 -0.472937  0.986679
 14.026882 -1.050094  0.453513 -0.274605  0.749997
 15.419683 -1.256382  1.244994 -0.022013  0.376674
 16.986445 -1.093749  1.500768  0.214653 -0.037437
 18.409468 -0.692306  1.241790  0.331577 -0.303139
 19.818774 -0.205809  0.716456  0.342039 -0.416600
 21.231204  0.232074  0.133518  0.266299 -0.387635
 22.706462  0.532360 -0.347561  0.135966 -0.251697
 24.365304  0.629703 -0.600755 -0.014629 -0.052704
 26.153708  0.493999 -0.527243 -0.124666  0.121383
 27.783798  0.256853 -0.258626 -0.154987  0.192529
 29.428933  0.018926  0.055003 -0.126063  0.175421
 31.123791 -0.142895  0.290407 -0.061818  0.095408
